"choicepair"	"A1_prob"	"A1_payoff"	"A2_prob"	"A2_payoff"	"B1_prob"	"B1_payoff"	"B2_prob"	"B2_payoff"	"A_mean"	"B_mean"	"A_var"	"B_var"	"A_sd"	"B_sd"	"HV_option"	"HM_option"
"32"	32	0.76	37	0.24	5	0.18	12	0.82	28	29.32	25.12	186.7776	37.7856	13.6666601626001	6.14699926793554	"A"	"A"
"33"	33	0.74	65	0.26	6	0.64	93	0.36	35	49.66	72.12	669.7444	775.0656	25.8794203953643	27.84	"B"	"B"
"34"	34	0.08	82	0.92	72	0.27	47	0.73	77	72.8	68.9	7.36	177.39	2.71293199325011	13.3187837282539	"B"	"A"
"35"	35	0.88	79	0.12	82	0.2	57	0.8	94	79.36	86.6	0.9504	219.04	0.974884608556315	14.8	"B"	"B"
"36"	36	0.56	63	0.44	21	1	36	0	0	44.52	36	434.6496	0	20.8482517252646	0	"A"	"A"
"37"	37	0.93	86	0.07	27	0.8	87	0.2	18	81.87	73.2	226.6131	761.76	15.0536739701642	27.6	"B"	"A"
"38"	38	0.61	68	0.39	39	0.6	77	0.4	48	56.69	65.4	200.0739	201.84	14.1447481419784	14.2070405081424	"B"	"B"
"39"	39	0.68	41	0.32	65	0.85	100	0.15	2	48.68	85.3	125.3376	1224.51	11.195427638103	34.99299929986	"B"	"B"
"40"	40	0	0	1	46	0.36	52	0.64	36	46	41.76	0	58.9824	0	7.68	"B"	"A"
"41"	41	0.91	80	0.09	19	0.64	37	0.36	65	74.51	47.08	304.7499	180.6336	17.4570873859301	13.44	"A"	"A"
"42"	42	0.73	75	0.27	34	0.9	56	0.1	82	63.93	58.6	331.3251	60.84	18.202337761947	7.8	"A"	"A"
"43"	43	0.87	77	0.13	72	0.26	67	0.74	100	76.35	91.42	2.8275	209.5236	1.68151717208002	14.4749300516445	"B"	"B"
"44"	44	0.92	63	0.08	5	0.63	43	0.37	53	58.36	46.7	247.5904	23.31	15.7350055608506	4.82804308182932	"A"	"A"
"45"	45	0.05	56	0.95	72	0.95	68	0.05	95	71.2	69.35	12.16	34.6275	3.48711915483254	5.88451357377991	"B"	"A"
"46"	46	0.25	84	0.75	43	0.43	7	0.57	97	53.25	58.3	315.1875	1985.31	17.753520777581	44.5568176601516	"B"	"B"
"47"	47	0.78	32	0.22	99	0.32	39	0.68	56	46.74	50.56	770.3124	62.8864	27.7545023374587	7.93009457698961	"A"	"B"
"48"	48	0.09	83	0.91	67	0.48	77	0.52	6	68.44	40.08	20.9664	1258.2336	4.57890816680134	35.4715886309029	"B"	"A"
"49"	49	0.08	54	0.92	31	0.15	44	0.85	29	32.84	31.25	38.9344	28.6875	6.23974358447525	5.35607132140714	"A"	"A"
"50"	50	0.04	39	0.96	28	0.39	53	0.61	20	28.44	32.87	4.6464	259.0731	2.1555509736492	16.0957478856995	"B"	"B"
"51"	51	0.44	14	0.56	72	0.21	9	0.79	31	46.48	26.38	828.8896	80.2956	28.7904428586988	8.96078121594317	"A"	"A"
"52"	52	0.31	39	0.69	51	0.84	16	0.16	91	47.28	28	30.8016	756	5.54991891832664	27.495454169735	"B"	"A"
"53"	53	0.1	45	0.9	14	0.14	25	0.86	27	17.1	26.72	86.49	0.4816	9.3	0.693974062915899	"A"	"B"
"54"	54	0.51	44	0.49	38	0.38	20	0.62	86	41.06	60.92	8.9964	1026.2736	2.999399939988	32.0355053027106	"B"	"B"
"55"	55	0.33	85	0.67	60	0.24	98	0.76	26	68.25	43.28	138.1875	945.5616	11.7553179455087	30.7499853658502	"B"	"A"
"56"	56	0.68	30	0.32	67	0.59	7	0.41	59	41.84	28.32	297.8944	654.0976	17.2596176087421	25.5753318649045	"B"	"A"
"57"	57	0.49	15	0.51	50	0.94	64	0.06	14	32.85	61	306.1275	141	17.49649964993	11.8743420870379	"A"	"B"
"58"	58	0.52	68	0.48	90	0.19	1	0.81	87	78.56	70.66	120.8064	1138.2444	10.9911964771812	33.7378778230048	"B"	"A"
"59"	59	0.63	65	0.37	74	0.47	7	0.53	85	68.33	48.34	18.8811	1515.5244	4.34523877364639	38.9297367060195	"B"	"A"
"60"	60	0.28	7	0.72	74	0.71	55	0.29	63	55.24	57.32	904.9824	13.1776	30.0829253896625	3.6300964174523	"A"	"B"
"61"	61	0.33	-23	0.67	-29	0.43	-67	0.57	-28	-27.02	-44.77	7.9596	372.7971	2.8212763069221	19.307954319399	"B"	"A"
"62"	62	0.76	-3	0.24	-92	0.62	-14	0.38	-83	-24.36	-40.22	1444.7904	1121.6916	38.0103985772315	33.491664634652	"A"	"A"
"63"	63	0.82	-40	0.18	-90	0.17	-46	0.83	-64	-49	-60.94	369	45.7164	19.2093727122985	6.76139038955746	"A"	"A"
"64"	64	0.3	-89	0.7	-72	0.96	-96	0.04	-37	-77.1	-93.64	60.69	133.6704	7.79037868142493	11.5615915859366	"B"	"A"
"65"	65	0.13	-51	0.87	-56	0.93	-47	0.07	-70	-55.35	-48.61	2.8275	34.4379	1.68151717208002	5.86838137819961	"B"	"B"
"66"	66	0.96	-61	0.04	-56	0.34	-7	0.66	-63	-60.8	-43.96	0.96	703.7184	0.979795897113271	26.5276911924125	"B"	"B"
"67"	67	0.44	-59	0.56	0	0.43	-80	0.57	-24	-25.96	-48.08	857.7184	768.6336	29.2868298045384	27.7242420996499	"A"	"A"
"68"	68	0.25	-94	0.75	-37	0.83	-49	0.17	-11	-51.25	-42.54	609.1875	203.7484	24.6817240078565	14.2740463779546	"A"	"B"
"69"	69	0.16	-15	0.84	-67	0.72	-56	0.28	-83	-58.68	-63.56	363.4176	146.9664	19.0635148910163	12.1229699331476	"A"	"A"
"70"	70	0.51	-26	0.49	-76	0.77	-48	0.23	-34	-50.5	-44.78	624.75	34.7116	24.9949994999	5.89165511550023	"A"	"B"
"71"	71	0.49	-1	0.51	-54	0.77	-33	0.23	-30	-28.03	-32.31	701.9691	1.5939	26.494699469894	1.26249752475005	"A"	"A"
"72"	72	0.73	-49	0.27	-75	0.17	-2	0.83	-100	-56.02	-83.34	133.2396	1355.1244	11.54294589782	36.8120143431462	"B"	"A"
"73"	73	0.6	-46	0.4	-21	0.42	-99	0.58	-37	-36	-63.04	150	936.3984	12.2474487139159	30.6006274445476	"B"	"A"
"74"	74	0.29	-67	0.71	-28	0.05	-46	0.95	-44	-39.31	-44.1	313.1739	0.19	17.6967200350799	0.435889894354067	"A"	"A"
"75"	75	0.56	-4	0.44	-80	0.04	-46	0.96	-58	-37.44	-57.52	1423.2064	5.5296	37.7254078838122	2.35151015307185	"A"	"A"
"76"	76	0.77	-77	0.23	-62	0.71	-94	0.29	-51	-73.55	-81.53	39.8475	380.7091	6.31248762375024	19.5117682438061	"B"	"A"
"77"	77	0.38	-22	0.62	-15	0.38	-4	0.62	-36	-17.66	-23.84	11.5444	241.2544	3.39770510786325	15.5323662073748	"B"	"A"
"78"	78	0.56	-6	0.44	-59	0.64	-27	0.36	-83	-29.32	-47.16	692.1376	722.5344	26.3085081295006	26.88	"B"	"A"
"79"	79	0.37	-91	0.63	-33	0.49	-41	0.51	-61	-54.46	-51.2	784.1484	99.96	28.0026498746101	9.99799979995999	"A"	"B"
"80"	80	0.61	-73	0.39	-58	0.44	-83	0.56	-8	-67.15	-41	53.5275	1386	7.31624903895432	37.2290209379726	"B"	"B"
"81"	81	0.09	-54	0.91	-41	0.79	-65	0.21	-28	-42.17	-57.23	13.8411	227.1171	3.72036288552609	15.0704047722681	"B"	"A"
"82"	82	0.29	-25	0.71	-86	0.76	-38	0.24	-99	-68.31	-52.64	766.1539	678.7104	27.6794851830738	26.0520709349564	"A"	"B"
"83"	83	0.93	-55	0.07	-17	0.27	-88	0.73	-35	-52.34	-49.31	94.0044	553.6539	9.69558662485154	23.5298512532485	"B"	"B"
"84"	84	0.45	-37	0.55	-34	0.41	-11	0.59	-54	-35.35	-36.37	2.2275	447.2731	1.49248115565993	21.1488321190557	"B"	"A"
"85"	85	0.13	-19	0.87	-56	0.7	-32	0.3	-37	-51.19	-33.5	154.8339	5.25	12.4432270733922	2.29128784747792	"A"	"B"
"86"	86	0.66	-8	0.34	-95	0.93	-42	0.07	-30	-37.58	-41.16	1698.4836	9.3744	41.212663102498	3.06176419732154	"A"	"A"
"87"	87	0.33	-23	0.67	-96	0.29	-40	0.71	-82	-71.91	-69.82	1178.2419	363.2076	34.3255284008855	19.0580061916246	"A"	"B"
"88"	88	0.73	-73	0.27	-54	0.17	-42	0.83	-70	-67.87	-65.24	71.1531	110.6224	8.43522969456078	10.5177183837561	"B"	"B"
"89"	89	0.03	-75	0.97	-27	0.69	-41	0.31	-48	-28.44	-43.17	67.0464	10.4811	8.18818661243135	3.23745270235721	"A"	"A"
"90"	90	0.48	-59	0.52	-2	0.14	-77	0.86	-9	-29.36	-18.52	810.9504	556.7296	28.4771908726967	23.5951181391406	"A"	"B"
"91"	91	0.58	-50	0.42	-54	0.14	-73	0.86	-40	-51.68	-44.62	3.8976	131.1156	1.97423402868049	11.4505720381123	"B"	"B"
"92"	92	0.13	-29	0.87	-76	0.55	-100	0.45	-28	-69.89	-67.6	249.8379	1283.04	15.8062614175522	35.8195477358383	"B"	"B"
"93"	93	0.19	-68	0.81	-46	0.61	-9	0.39	-90	-50.18	-40.59	74.4876	1560.8619	8.63061990821053	39.5077448103533	"B"	"B"
"94"	94	0.84	-57	0.16	-90	0.25	-63	0.75	-30	-62.28	-38.25	146.3616	204.1875	12.0979998346834	14.2894191624432	"B"	"B"
"95"	95	0.97	-58	0.03	-65	0.18	-52	0.82	-74	-58.21	-70.04	1.4259	71.4384	1.19411054764624	8.45212399341136	"B"	"A"
"96"	96	0.99	-96	0.01	-2	0.47	-90	0.53	-66	-95.06	-77.28	87.4764	143.4816	9.35288190880223	11.9783805249291	"B"	"B"
"97"	97	0.59	-85	0.41	-7	0.52	-9	0.48	-73	-53.02	-39.72	1471.7196	1022.3616	38.3629977973568	31.9743897517998	"A"	"B"
"98"	98	0.56	-58	0.44	-80	0.86	-58	0.14	-97	-67.68	-63.46	119.2576	183.1284	10.920512808472	13.53249422686	"B"	"B"
"99"	99	0.65	-72	0.35	-8	0.25	-90	0.75	-39	-49.6	-51.75	931.84	487.6875	30.5260544453423	22.0836477965032	"A"	"A"
"100"	100	0.59	-41	0.41	-57	0.42	-51	0.58	-30	-47.56	-38.82	61.9264	107.4276	7.86933288150908	10.3647286505726	"B"	"B"
"101"	101	0.63	-96	0.37	-38	0.17	-12	0.83	-69	-74.54	-59.31	784.1484	458.4339	28.0026498746101	21.411069566932	"A"	"B"
"102"	102	0.04	-98	0.96	-25	0.4	-78	0.6	-22	-27.92	-44.4	204.6336	752.64	14.3050200978538	27.4342851191716	"B"	"A"
"103"	103	0.5	-21	0.5	-77	0.39	-77	0.61	-75	-49	-75.78	784	0.9516	28	0.975499871860576	"A"	"A"
"104"	104	0.79	-67	0.21	-37	0.46	0	0.54	-97	-60.7	-52.38	149.31	2337.1956	12.2192471126498	48.3445508821832	"B"	"B"
"105"	105	0.4	-60	0.6	-82	0.47	-31	0.53	-90	-73.2	-62.27	116.16	867.1171	10.777754868246	29.446852123784	"B"	"B"
"106"	106	0.21	-60	0.79	-16	0.45	-6	0.55	-51	-25.24	-30.75	321.1824	501.1875	17.9215624318863	22.3872173348989	"B"	"A"
"107"	107	0.48	-15	0.52	-91	0.28	-48	0.72	-74	-54.52	-66.72	1441.6896	136.2816	37.9695878302623	11.6739710467347	"A"	"A"
"108"	108	0.04	-15	0.96	-60	0.88	-34	0.12	-77	-58.2	-39.16	77.76	195.2544	8.81816307401944	13.9733460559739	"B"	"B"
"109"	109	0.99	-24	0.01	-13	0.44	-15	0.56	-62	-23.89	-41.32	1.1979	544.2976	1.09448618081728	23.3301864544628	"B"	"A"
"110"	110	0.39	-35	0.61	-72	0.76	-57	0.24	-28	-57.57	-50.04	325.6851	153.3984	18.0467476294207	12.3854107723563	"A"	"B"
"111"	111	0.76	-33	0.24	-53	0.52	-18	0.48	-60	-37.8	-38.16	72.96	440.2944	8.54166260162505	20.9831932746186	"B"	"A"
"112"	112	0.43	-55	0.57	-53	0.08	-77	0.92	-51	-53.86	-53.08	0.9804	49.7536	0.990151503558925	7.05362318245028	"B"	"B"
"113"	113	0.75	-100	0.25	-84	0.95	-85	0.05	-29	-96	-82.2	48	148.96	6.92820323027551	12.2049170419139	"B"	"B"
"114"	114	0.53	-93	0.47	-26	0.8	-52	0.2	-93	-61.51	-60.2	1118.2099	268.96	33.4396456320937	16.4	"A"	"B"
"115"	115	0.59	-55	0.41	-77	0.47	-30	0.53	-61	-64.02	-46.43	117.0796	239.3851	10.820332712075	15.4720748447	"B"	"B"
"116"	116	0.66	-58	0.34	-68	0.68	-67	0.32	-49	-61.4	-61.24	22.44	70.5024	4.7370877129308	8.39657072857723	"B"	"B"
"117"	117	0.86	-29	0.14	-30	0.26	-17	0.74	-43	-29.14	-36.24	0.1204	130.0624	0.346987031457949	11.4044903437199	"B"	"A"
"118"	118	0.32	-83	0.68	-19	0.15	-15	0.85	-52	-39.48	-46.45	891.2896	174.5475	29.8544737016079	13.2116425928043	"A"	"A"
"119"	119	0.56	-9	0.44	-56	0.64	-15	0.36	-80	-29.68	-38.4	544.2976	973.44	23.3301864544628	31.2	"B"	"A"
"120"	120	0.49	-66	0.51	-92	0.78	-97	0.22	-34	-79.26	-83.14	168.9324	681.0804	12.997399739948	26.0975171232821	"B"	"A"
"121"	121	0.85	-55	0.15	27	0.02	73	0.98	-88	-42.7	-84.78	857.31	508.0516	29.2798565570257	22.54	"A"	"A"
"122"	122	0.18	-19	0.82	73	0.94	58	0.06	-54	56.44	51.28	1249.2864	707.4816	35.3452457906293	26.5985262749649	"A"	"A"
"123"	123	1	-48	0	0	0.9	-71	0.1	87	-48	-55.2	0	2246.76	0	47.4	"B"	"A"
"124"	124	0.43	-47	0.57	63	0.02	-69	0.98	14	15.7	12.34	2965.71	135.0244	54.4583326957409	11.62	"A"	"A"
"125"	125	0.48	58	0.52	-5	0.4	-40	0.6	96	25.24	41.6	990.6624	4439.04	31.4747899119279	66.6261210037024	"B"	"B"
"126"	126	0.93	-28	0.07	79	0.63	-81	0.37	89	-20.51	-18.1	745.3299	6736.59	27.3007307594504	82.0767323910985	"B"	"B"
"127"	127	0.43	-91	0.57	63	0.27	-83	0.73	24	-3.22000000000001	-4.89	5812.7916	2256.5979	76.2416657740372	47.5036619641055	"A"	"A"
"128"	128	0.73	-38	0.27	40	0.54	-30	0.46	7	-16.94	-12.98	1199.1564	340.0596	34.6288376934601	18.4407049756781	"A"	"B"
"129"	129	0.94	-66	0.06	92	0.03	31	0.97	-49	-56.52	-46.6	1407.9696	186.24	37.5229209950398	13.6469776873856	"A"	"B"
"130"	130	0.24	-88	0.76	79	0.01	-100	0.99	32	38.92	30.68	5086.9536	172.4976	71.3228827235692	13.1338341698074	"A"	"A"
"131"	131	0.86	-26	0.14	82	0.6	-39	0.4	31	-10.88	-11	1404.3456	1176	37.4745993974585	34.2928563989645	"A"	"A"
"132"	132	0.06	-82	0.94	54	0.91	38	0.09	-73	45.84	28.01	1043.1744	1009.0899	32.2982104767431	31.7661754071843	"A"	"A"
"133"	133	0.05	56	0.95	-56	0.47	29	0.53	-80	-50.4	-28.77	595.84	2959.5571	24.4098340838278	54.4018115507195	"B"	"B"
"134"	134	0.37	-8	0.63	52	0.87	23	0.13	-39	29.8	14.94	839.16	434.7564	28.9682584909759	20.8508129337923	"A"	"A"
"135"	135	0.07	-7	0.93	25	0.87	48	0.13	-10	22.76	40.46	66.6624	380.4684	8.16470452619077	19.5055991961283	"B"	"B"
"136"	136	0.81	-42	0.19	16	0.47	27	0.53	-60	-30.98	-19.11	517.7196	1885.4379	22.7534524852823	43.4216294028679	"B"	"B"
"137"	137	0.73	-31	0.27	9	0.07	39	0.93	-27	-20.2	-22.38	315.36	283.5756	17.7583783043385	16.8397030852685	"A"	"A"
"138"	138	0.92	-73	0.08	96	0.11	16	0.89	-48	-59.48	-40.96	2102.0896	400.9984	45.8485506859268	20.0249444443674	"A"	"B"
"139"	139	0.75	72	0.25	-38	0.45	60	0.55	-8	44.5	22.6	2268.75	1144.44	47.6313972081441	33.8295728616251	"A"	"A"
"140"	140	0.24	-25	0.76	36	0.48	-28	0.52	67	21.36	21.4	678.7104	2252.64	26.0520709349564	47.4619847878278	"B"	"B"
"141"	141	0.79	-70	0.21	98	0.65	-85	0.35	93	-34.72	-22.7	4682.3616	7208.11	68.4277838308388	84.9005889261082	"B"	"B"
"142"	142	0.14	-92	0.86	76	0.94	99	0.06	-96	52.48	87.3	3398.1696	2144.61	58.2938212849355	46.3099341394479	"A"	"B"
"143"	143	0.14	93	0.86	-91	0.32	0	0.68	-76	-65.24	-51.68	4076.2624	1256.8576	63.8456137882627	35.4521875206594	"A"	"B"
"144"	144	0.31	-44	0.69	26	0.38	84	0.62	-41	4.3	6.5	1048.11	3681.25	32.3745270235721	60.673305497558	"B"	"B"
"145"	145	0.74	56	0.26	-76	0.4	-31	0.6	92	21.68	42.8	3352.3776	3630.96	57.8997202065779	60.2574476724662	"B"	"B"
"146"	146	0.28	-59	0.72	96	0.04	-4	0.96	63	52.6	60.32	4843.44	172.3776	69.5948273939953	13.1292650213178	"A"	"B"
"147"	147	0.96	17	0.04	-48	0.49	-60	0.51	84	14.4	13.44	162.24	5181.9264	12.7373466624725	71.9855985597119	"B"	"A"
"148"	148	0.43	-97	0.57	59	0.85	-28	0.15	83	-8.08000000000001	-11.35	5964.7536	1570.9275	77.2318172775962	39.6349277784128	"A"	"A"
"149"	149	0.38	-49	0.62	2	0.22	19	0.78	-18	-17.38	-9.86	612.7956	234.9204	24.7547086430037	15.3271132311339	"A"	"B"
"150"	150	0.39	76	0.61	-7	0.06	-65	0.94	37	25.37	30.88	1638.8931	586.7856	40.4832446822139	24.2236578575573	"A"	"B"
"151"	151	0.44	71	0.56	-95	0.63	-31	0.37	4	-21.96	-18.05	6789.7984	285.5475	82.4002330093793	16.8981507864026	"A"	"B"
"152"	152	0.97	31	0.03	-20	0.36	-54	0.64	99	29.47	43.92	75.6891	5393.4336	8.69994827570831	73.44	"B"	"B"
"153"	153	0.97	-51	0.03	30	0.68	-89	0.32	46	-48.57	-45.8	190.9251	3965.76	13.8175649084779	62.9742804643292	"B"	"B"
"154"	154	0.95	-33	0.05	19	0.26	14	0.74	-75	-30.4	-51.86	128.44	1524.0004	11.3331372532058	39.0384477150411	"B"	"A"
"155"	155	0.5	98	0.5	-24	0.14	-76	0.86	46	37	28.92	3721	1792.0336	61	42.3324178378698	"A"	"A"
"156"	156	0.39	-70	0.61	19	0.3	8	0.7	-37	-15.71	-23.5	1884.4059	425.25	43.4097442977956	20.6215906273013	"A"	"A"
"157"	157	0	0	1	-55	0.79	-64	0.21	23	-55	-45.73	0	1255.6971	0	35.4358166266844	"B"	"B"
"158"	158	0.87	-78	0.13	45	0.88	-69	0.12	83	-62.01	-50.76	1711.0899	2439.7824	41.3653224331686	49.3941535001866	"B"	"B"
"159"	159	0.86	-39	0.14	83	0.8	8	0.2	-88	-21.92	-11.2	1792.0336	1474.56	42.3324178378698	38.4	"A"	"B"
"160"	160	0.07	-55	0.93	95	0.48	-13	0.52	99	84.5	45.24	1464.75	3130.9824	38.2720524665192	55.9551820656496	"B"	"A"
"161"	161	0.39	10	0.61	-72	0.64	-72	0.36	32	-40.02	-34.56	1599.6396	2492.0064	39.9954947462836	49.92	"B"	"B"
"162"	162	0.55	89	0.45	-52	0.76	86	0.24	-75	25.55	47.36	4920.5475	4727.9904	70.1466143160167	68.7603839430816	"A"	"B"
"163"	163	0.7	55	0.3	-76	0.08	-56	0.92	26	15.7	19.44	3603.81	494.8864	60.0317416039215	22.2460423446509	"A"	"B"
"164"	164	0.27	25	0.73	-61	0.34	-82	0.66	3	-37.78	-25.9	1457.7516	1621.29	38.1805133543278	40.2652455599118	"B"	"B"
"165"	165	0.56	85	0.44	-22	0.22	-70	0.78	66	37.92	36.08	2821.0336	3173.9136	53.1134032048409	56.3374972820057	"B"	"A"
"166"	166	0.58	-44	0.42	43	0.83	1	0.17	-70	-7.46	-11.07	1843.8084	711.2851	42.9395901238007	26.66992875881	"A"	"A"
"167"	167	0.4	-1	0.6	13	0.59	44	0.41	-50	7.4	5.46	47.04	2137.4284	6.8585712797929	46.2323306788658	"B"	"A"
"168"	168	0.88	-90	0.12	88	0.8	-86	0.2	14	-68.64	-66	3345.8304	1600	57.843153441008	40	"A"	"B"
"169"	169	0.91	-33	0.09	28	0.27	9	0.73	-67	-27.51	-46.48	304.7499	1138.4496	17.4570873859301	33.7409187782431	"B"	"A"
"170"	170	0.89	-31	0.11	27	0.36	26	0.64	-48	-24.62	-21.36	329.3356	1261.6704	18.1476059027079	35.52	"B"	"B"
"171"	171	0.3	98	0.7	-70	0.48	51	0.52	-99	-19.6	-27	5927.04	5616	76.9872716752581	74.9399759807808	"A"	"A"
"172"	172	0.59	-100	0.41	81	0.47	-73	0.53	15	-25.79	-26.36	7924.8859	1929.0304	89.0218282220715	43.9207285914066	"A"	"A"
"173"	173	0.45	-55	0.55	72	0.59	37	0.41	-34	14.85	7.89	3991.9275	1219.4179	63.1817022562704	34.9201646616965	"A"	"A"
"174"	174	0.61	96	0.39	-67	0.5	71	0.5	-26	32.43	22.5	6320.7651	2352.25	79.5032395566369	48.5	"A"	"A"
"175"	175	0.99	67	0.01	-3	0.68	74	0.32	-2	66.3	49.68	48.51	1256.8576	6.96491205974634	35.4521875206594	"B"	"A"
"176"	176	0.74	77	0.26	-23	0.67	75	0.33	-7	51	47.94	1924	1486.6764	43.8634243989226	38.5574428612687	"A"	"A"
"177"	177	0.13	-13	0.87	27	0.34	-18	0.66	70	21.8	40.08	180.96	1737.7536	13.4521373766402	41.6863718737911	"B"	"B"
"178"	178	0.93	75	0.07	-90	0.87	96	0.13	-89	63.45	71.95	1772.3475	3870.8475	42.0992577131711	62.2161353669609	"B"	"B"
"179"	179	0.27	1	0.73	-85	0.18	26	0.82	-51	-61.78	-37.14	1457.7516	875.1204	38.1805133543278	29.5824339769398	"A"	"B"
"180"	180	0.73	85	0.27	-22	0.25	-100	0.75	76	56.11	32	2256.5979	5808	47.5036619641055	76.2102355330306	"B"	"A"
